Ano e mês do lançamento;Código Órgão Superior;Nome Órgão Superior;Código Órgão Subordinado;Nome Órgão Subordinado;Código Unidade Gestora;Nome Unidade Gestora;Código Gestão;Nome Gestão;Código Unidade Orçamentária;Nome Unidade Orçamentária;Código Função;Nome Função;Código Subfução;Nome Subfunção;Código Programa Orçamentário;Nome Programa Orçamentário;Código Ação;Nome Ação;Código Plano Orçamentário;Plano Orçamentário;Código Programa Governo;Nome Programa Governo;Código Grupo de Despesa;Nome Grupo de Despesa;Código Elemento de Despesa;Nome Elemento de Despesa;Código Modalidade da Despesa;Modalidade da Despesa;Valor Empenhado (R$);Valor Liquidado (R$);Valor Pago (R$);Valor Restos a Pagar Inscritos (R$);Valor Restos a Pagar Cancelado (R$);Valor Restos a Pagar Pagos (R$)
2020/01;53000;Ministério do Desenvolvimento Regional;53000;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;530023;SECRETARIA NACIONAL DE DESENV. REG. E URBANO;1.0;TESOURO NACIONAL;53101;MINISTERIO DO DESENVOLVIMENTO REGIONAL;15;Urbanismo;244;Assistência comunitária;2029;DESENVOLVIMENTO REGIONAL E TERRITORIAL;7K66;APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO;0000;APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO - DESPESAS DIVERSAS;00;NAO ATRIBUIDO;4;Investimentos;52;Equipamentos e Material Permanente;90;Reserva de Contingência;0.0;0.0;0.0;0.0;0.0;4134307.32
2020/01;26000;Ministério da Educação;26417;Instituto Federal da Paraíba;158474;IFPB - CAMPUS CABEDELO;26417.0;INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA;26417;INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA;12;Educação;363;Ensino profissional;2080;EDUCACAO DE QUALIDADE PARA TODOS;2994;ASSISTENCIA AOS ESTUDANTES DAS INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA;0000;ASSISTENCIA AOS ESTUDANTES DAS INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA - DESPESAS DIVERSAS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;30;Material de Consumo;90;Reserva de Contingência;0.0;0.0;0.0;0.0;0.0;14890.0
2020/01;52000;Ministério da Defesa;52221;Indústria de Material Bélico do Brasil;168004;INDUSTRIA DE MATERIAL BELICO DO BRASIL/FPV;16501.0;INDUSTRIA DE MATERIAL BELICO DO BRASIL;52221;INDUSTRIA DE MATERIAL BELICO DO BRASIL-IMBEL;5;Defesa nacional;153;Defesa terrestre;2058;DEFESA NACIONAL;4528;PRODUCAO DE MATERIAL DE EMPREGO MILITAR;0000;PRODUCAO DE MATERIAL DE EMPREGO MILITAR;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;30;Material de Consumo;90;Reserva de Contingência;0.0;0.0;0.0;0.0;0.0;108039.87
2020/01;53000;Ministério do Desenvolvimento Regional;53000;Ministério do Desenvolvimento Regional - Unidades com vínculo direto;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;1.0;TESOURO NACIONAL;56101;MINISTERIO DAS CIDADES;15;Urbanismo;451;infra-estrutura urbana;2054;PLANEJAMENTO URBANO;1D73;APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO;0000;APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS;00;NAO ATRIBUIDO;4;Investimentos;42;Auxílios;40;Transferências a Municípios;0.0;0.0;0.0;0.0;494164.8;583552.85
2020/01;52000;Ministério da Defesa;52904;Fundo do Exército;167050;HOSPITAL GERAL DE FORTALEZA;1.0;TESOURO NACIONAL;52921;FUNDO DO EXERCITO;5;Defesa nacional;301;Atenção básica;2108;PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES;0003;ASSISTENCIA MEDICA E ODONTOLOGICA DE MILITARES - COMPLEMENTACAO DA UNIAO;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;30;Material de Consumo;90;Reserva de Contingência;0.0;0.0;0.0;0.0;0.0;4085.32
2020/01;52000;Ministério da Defesa;52904;Fundo do Exército;167199;HOSPITAL MILITAR DE AREA DE RECIFE;1.0;TESOURO NACIONAL;52921;FUNDO DO EXERCITO;5;Defesa nacional;122;Administração geral;2108;PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA;2000;ADMINISTRACAO DA UNIDADE;0000;ADMINISTRACAO DA UNIDADE;00;NAO ATRIBUIDO;4;Investimentos;52;Equipamentos e Material Permanente;90;Reserva de Contingência;0.0;0.0;0.0;0.0;0.0;1035.0
2020/01;52000;Ministério da Defesa;52121;Comando do Exército;160160;51 BATALHAO DE INFANTARIA DE SELVA;1.0;TESOURO NACIONAL;52121;COMANDO DO EXERCITO;5;Defesa nacional;331;Proteção e benefícios ao trabalhador;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES;0006;ALIMENTACAO DE MILITARES EM RANCHO;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;90;Reserva de Contingência;0.0;42921.06;0.0;0.0;0.0;0.0
2020/01;54000;Ministério do Turismo;54000;Ministério do Turismo - Unidades com vínculo direto;540004;COORD. GERAL DE RECURSOS LOGISTICOS - CGRL;1.0;TESOURO NACIONAL;54101;MINISTERIO DO TURISMO;23;Comércio e serviços;122;Administração geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;0001;DESPESAS ADMINISTRATIVAS GERAIS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;33;Passagens e Despesas com Locomoção;90;Reserva de Contingência;0.0;2221.14;2221.14;0.0;0.0;0.0
2020/01;25000;Ministério da Economia;25000;Ministério da Economia - Unidades com vínculo direto;170085;SUPERINTENDêNCIA REG. ADM. DO ME-MINAS GERAIS;1.0;TESOURO NACIONAL;25101;MINISTERIO DA FAZENDA;4;Administração;127;Ordenamento territorial;2209;BRASIL, NOSSO PROPOSITO;20U4;GOVERNANCA DO PATRIMONIO IMOBILIARIO DA UNIAO;0006;GESTAO E FORTALECIMENTO DAS UNIDADES DA SECRETARIA DE PATRIMONIO DA UNIAO;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;91;APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS;1840.3;0.0;0.0;0.0;0.0;0.0
2020/01;22000;Ministério da Agricultura, Pecuária e Abastec;22000;Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto;130090;SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AM;1.0;TESOURO NACIONAL;22101;MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO;20;Agricultura;125;Normatização e fiscalização;2202;DEFESA AGROPECUARIA;214W;MODERNIZACAO E FORTALECIMENTO DA DEFESA AGROPECUARIA;000B;INSPECAO DE PRODUTOS DE ORIGEM ANIMAL;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;90;Reserva de Contingência;1000.0;1012.35;1000.0;0.0;0.0;0.0
