Ano e mês do lançamento;Código Órgão Superior;Nome Órgão Superior;Código Órgão Subordinado;Nome Órgão Subordinado;Código Unidade Gestora;Nome Unidade Gestora;Código Gestão;Nome Gestão;Código Unidade Orçamentária;Nome Unidade Orçamentária;Código Função;Nome Função;Código Subfução;Nome Subfunção;Código Programa Orçamentário;Nome Programa Orçamentário;Código Ação;Nome Ação;Código Plano Orçamentário;Plano Orçamentário;Código Programa Governo;Nome Programa Governo;Código Grupo de Despesa;Nome Grupo de Despesa;Código Elemento de Despesa;Nome Elemento de Despesa;Código Modalidade da Despesa;Modalidade da Despesa;Valor Empenhado (R$);Valor Liquidado (R$);Valor Pago (R$);Valor Restos a Pagar Inscritos (R$);Valor Restos a Pagar Cancelado (R$);Valor Restos a Pagar Pagos (R$)
2020/10;52000;Ministério da Defesa;52121;Comando do Exército;160522;28 BATALHAO LOGISITICO;1.0;TESOURO NACIONAL;52121;COMANDO DO EXERCITO;5;Defesa nacional;153;Defesa terrestre;6012;DEFESA NACIONAL;14T5;IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRAS - SISFRON;0004;SUPORTE LOGISTICO E DE FUNCIONAMENTO INTEGRADOS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;30;Material de Consumo;90;Reserva de Contingência;249999.1;0.0;0.0;0.0;0.0;0.0
2020/10;26000;Ministério da Educação;26419;Instituto Federal do Rio Grande do Sul;158743;INST.FED.DO RS/CAMPUS ROLANTE;26419.0;INST.FED.DE EDUC.,CIENC.E TEC.DO RS;26419;INST.FED.DE EDUC.,CIENC.E TEC.DO RS;12;Educação;363;Ensino profissional;5012;EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;0000;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;30;Material de Consumo;90;Reserva de Contingência;3444.9;0.0;0.0;0.0;0.0;0.0
2020/10;53000;Ministério do Desenvolvimento Regional;29214;Companhia Brasileira de Trens Urbanos;275068;CIA BRASILEIRA DE TRENS URBANOS-ADM.CENTRAL;27209.0;COMPANHIA BRASILEIRA DE TRENS URBANOS;53209;COMPANHIA BRASILEIRA DE TRENS URBANOS - CBTU;15;Urbanismo;122;Administração geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;0000;ADMINISTRACAO DA UNIDADE;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;35;Serviços de Consultoria;90;Reserva de Contingência;9141.19;0.0;0.0;0.0;0.0;0.0
2020/10;52000;Ministério da Defesa;52131;Comando da Marinha;741000;ARSENAL DE MARINHA_DO RIO DE JANEIRO;1.0;TESOURO NACIONAL;52931;FUNDO NAVAL;5;Defesa nacional;152;Defesa naval;2058;DEFESA NACIONAL;20XN;APRESTAMENTO DA MARINHA;0003;APRESTAMENTO DAS FORCAS NAVAIS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;90;Reserva de Contingência;0.0;0.0;0.0;0.0;0.0;1075.01
2020/10;35000;Ministério das Relações Exteriores;35000;Ministério das Relações Exteriores - Unidades com vínculo direto;240245;EMBAIXADA DO BRASIL EM LUANDA;1.0;TESOURO NACIONAL;35101;MINISTERIO DAS RELACOES EXTERIORES;7;Relações exteriores;211;Relações diplomáticas;2216;POLITICA EXTERNA;20I5;SERVICOS CONSULARES E DE ASSISTENCIA A BRASILEIROS NO EXTERIOR;0002;ASSISTENCIA CONSULAR NO EXTERIOR;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;36;Outros Serviços de Terceiros - Pessoa Física;90;Reserva de Contingência;133.0;84.0;3696.0;0.0;0.0;0.0
2020/10;25000;Ministério da Economia;37202;Instituto Nacional do Seguro Social;510685;GERÊNCIA EXECUTIVA PONTA GROSSA;57202.0;INSTITUTO NACIONAL DO SEGURO SOCIAL;25303;INSTITUTO NACIONAL DO SEGURO SOCIAL;9;Previdência social;122;Administração geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;0006;FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS DA PREVIDENCIA SOCIAL;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;90;Reserva de Contingência;19893.05;67170.0;57858.81;0.0;0.0;0.0
2020/10;26000;Ministério da Educação;26240;Universidade Federal da Paraíba;153065;UNIVERSIDADE FEDERAL DA PARAIBA;15231.0;UNIVERSIDADE FEDERAL DA PARAIBA;26240;UNIVERSIDADE FEDERAL DA PARAIBA;9;Previdência social;272;Previdência do regime estatutário;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;00;NAO ATRIBUIDO;1;Pessoal e Encargos Sociais;3;Pensões do RPPS e do militar;90;Reserva de Contingência;0.0;0.0;8472894.43;0.0;0.0;0.0
2020/10;52000;Ministério da Defesa;52121;Comando do Exército;160364;COMANDO 3 BRIGADA DE CAVALARIA MECANIZADA;1.0;TESOURO NACIONAL;52121;COMANDO DO EXERCITO;5;Defesa nacional;331;Proteção e benefícios ao trabalhador;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES;0006;ALIMENTACAO DE MILITARES EM RANCHO;00;NAO ATRIBUIDO;4;Investimentos;52;Equipamentos e Material Permanente;90;Reserva de Contingência;9193.56;0.0;0.0;0.0;0.0;0.0
2020/10;52000;Ministério da Defesa;52904;Fundo do Exército;167050;HOSPITAL GERAL DE FORTALEZA;1.0;TESOURO NACIONAL;52921;FUNDO DO EXERCITO;5;Defesa nacional;301;Atenção básica;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES;0003;ASSISTENCIA MEDICA E ODONTOLOGICA DE MILITARES - COMPLEMENTACAO DA UNIAO;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;40;Serviços de Tecnologia da Informação e Comuni;90;Reserva de Contingência;0.0;0.0;3333.33;0.0;0.0;0.0
2020/10;36000;Ministério da Saúde;36210;Hospital Nossa Senhora da Conceição S.A.;366003;HOSPITAL NOSSA SENHORA DA CONCEICAO S/A;36210.0;HOSPITAL NOSSA SENHORA DA CONCEICAO S/A;36210;HOSPITAL NOSSA SENHORA DA CONCEICAO S/A;10;Saúde;302;Assistência hospitalar e ambulatorial;5018;ATENCAO ESPECIALIZADA A SAUDE;6217;ATENCAO A SAUDE NOS SERVICOS AMBULATORIAIS E HOSPITALARES DO MINISTERIO DA SAUDE;0003;CUSTEIO DAS UNIDADES DO GRUPO HOSPITALAR CONCEICAO;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;90;Reserva de Contingência;6688691.17;3034480.21;3819178.31;0.0;0.0;0.0
