Ano e mês do lançamento;Código Órgão Superior;Nome Órgão Superior;Código Órgão Subordinado;Nome Órgão Subordinado;Código Unidade Gestora;Nome Unidade Gestora;Código Gestão;Nome Gestão;Código Unidade Orçamentária;Nome Unidade Orçamentária;Código Função;Nome Função;Código Subfução;Nome Subfunção;Código Programa Orçamentário;Nome Programa Orçamentário;Código Ação;Nome Ação;Código Plano Orçamentário;Plano Orçamentário;Código Programa Governo;Nome Programa Governo;Código Grupo de Despesa;Nome Grupo de Despesa;Código Elemento de Despesa;Nome Elemento de Despesa;Código Modalidade da Despesa;Modalidade da Despesa;Valor Empenhado (R$);Valor Liquidado (R$);Valor Pago (R$);Valor Restos a Pagar Inscritos (R$);Valor Restos a Pagar Cancelado (R$);Valor Restos a Pagar Pagos (R$)
2020/05;26000;Ministério da Educação;26402;Instituto Federal de Alagoas;158147;INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS;26402.0;INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS;26402;INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS;9;Previdência social;272;Previdência do regime estatutário;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;00;NAO ATRIBUIDO;1;Pessoal e Encargos Sociais;1;Aposentadorias do RPPS, Reserva Remunerada e ;90;Reserva de Contingência;0.0;0.0;4119569.49;0.0;0.0;0.0
2020/05;36000;Ministério da Saúde;36000;Ministério da Saúde - Unidades com vínculo direto;257023;DISTRITO SANIT.ESP.INDIGENA AL/SE;1.0;TESOURO NACIONAL;36901;FUNDO NACIONAL DE SAUDE;10;Saúde;423;Assistência aos povos indígenas;5022;PROTECAO, PROMOCAO E RECUPERACAO DA SAUDE INDIGENA;20YP;PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA;0000;PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;30;Material de Consumo;90;Reserva de Contingência;70128.87;3853.32;3853.32;0.0;0.0;0.0
2020/05;24000;Ministério da Ciência, Tecnologia, Inovações ;20301;Comissão Nacional de Energia Nuclear;113201;COMISSAO NACIONAL DE ENERGIA NUCLEAR;11501.0;COMISSAO NACIONAL DE ENERGIA NUCLEAR;24204;COMISSAO NACIONAL DE ENERGIA NUCLEAR - CNEN;9;Previdência social;272;Previdência do regime estatutário;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;00;NAO ATRIBUIDO;1;Pessoal e Encargos Sociais;92;Despesas de Exercícios Anteriores;90;Reserva de Contingência;0.0;0.0;2921.96;0.0;0.0;0.0
2020/05;52000;Ministério da Defesa;52121;Comando do Exército;160350;17A BASE LOGISTICA;1.0;TESOURO NACIONAL;52121;COMANDO DO EXERCITO;5;Defesa nacional;153;Defesa terrestre;6012;DEFESA NACIONAL;21A0;APRESTAMENTO DAS FORCAS;0002;LOGISTICA DE TRANSPORTE DA FORCA TERRESTRE;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;90;Reserva de Contingência;555.56;0.0;0.0;0.0;0.0;0.0
2020/05;52000;Ministério da Defesa;52904;Fundo do Exército;167139;HOSPITAL DE GUARNICAO DE JOAO PESSOA;1.0;TESOURO NACIONAL;52921;FUNDO DO EXERCITO;5;Defesa nacional;301;Atenção básica;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES;0005;ASSISTENCIA MEDICA E ODONTOLOGICA - PARTICIPACAO DO SERVIDOR;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;36;Outros Serviços de Terceiros - Pessoa Física;90;Reserva de Contingência;0.0;0.0;1459.81;0.0;0.0;0.0
2020/05;52000;Ministério da Defesa;52121;Comando do Exército;160058;32 GRUPO DE ARTILHARIA DE CAMPANHA;1.0;TESOURO NACIONAL;52101;MINISTERIO DA DEFESA;5;Defesa nacional;153;Defesa terrestre;6012;DEFESA NACIONAL;218X;OPERACOES DE GARANTIA DA LEI E DA ORDEM;0001;OPERACAO CERBERO;00;NAO ATRIBUIDO;4;Investimentos;52;Equipamentos e Material Permanente;90;Reserva de Contingência;-2345.0;0.0;0.0;0.0;0.0;0.0
2020/05;26000;Ministério da Educação;26423;Instituto Federal de Sergipe;158392;INST. FED. DE SERGIPE/CAMPUS SÃO CRISTOVÃO;26423.0;INST.FED.DE EDUC.,CIENC.E TEC.DE SERGIPE;26423;INST.FED.DE EDUC.,CIENC.E TEC.DE SERGIPE;12;Educação;363;Ensino profissional;2080;EDUCACAO DE QUALIDADE PARA TODOS;20RL;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;0000;FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA - DESPESAS DIVERSAS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;39;Outros Serviços de Terceiros - Pessoa Jurídic;90;Reserva de Contingência;0.0;0.0;0.0;0.0;0.0;3280.0
2020/05;26000;Ministério da Educação;26233;Universidade Federal do Ceará;150244;HOSPITAL UNIVERSITARIO WALTER CANTIDIO;15224.0;UNIVERSIDADE FEDERAL DO CEARA;26362;HOSPITAL UNIVERSITARIO VALTER CANTIDIO;12;Educação;302;Assistência hospitalar e ambulatorial;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;20TP;ATIVOS CIVIS DA UNIAO;0000;ATIVOS CIVIS DA UNIAO;00;NAO ATRIBUIDO;1;Pessoal e Encargos Sociais;7;Contribuição a Entidades Fechadas de Previdên;90;Reserva de Contingência;0.0;0.0;1792.52;0.0;0.0;0.0
2020/05;36000;Ministério da Saúde;36201;Fundação Oswaldo Cruz;254420;FUNDAÇÃO OSWALDO CRUZ;25201.0;FUNDACAO OSWALDO CRUZ;36201;FUNDACAO OSWALDO CRUZ;10;Saúde;304;Vigilância sanitária;5023;VIGILANCIA EM SAUDE;6174;ANALISE DA QUALIDADE DE PRODUTOS E INSUMOS DE SAUDE;0000;ANALISE DA QUALIDADE DE PRODUTOS E INSUMOS DE SAUDE - DESPESAS DIVERSAS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;33;Passagens e Despesas com Locomoção;90;Reserva de Contingência;0.0;0.0;3742.2;0.0;0.0;0.0
2020/05;52000;Ministério da Defesa;52121;Comando do Exército;160219;COMANDO 5ª REGIÃO MILITAR;1.0;TESOURO NACIONAL;52121;COMANDO DO EXERCITO;5;Defesa nacional;122;Administração geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;000A;DESPESAS COM DESLOCAMENTOS;00;NAO ATRIBUIDO;3;Outras Despesas Correntes;33;Passagens e Despesas com Locomoção;90;Reserva de Contingência;8999.03;0.0;0.0;0.0;0.0;0.0
